Year,Road,Rail,Air
1977,92,7,0
1978,92,7,1
1979,92,7,1
1980,92,7,1
1981,93,7,1
1982,93,6,1
1983,93,7,1
1984,93,7,1
1985,93,7,1
1986,93,7,1
1987,93,6,1
1988,93,6,1
1989,93,6,1
1990,93,6,1
1991,94,6,1
1992,94,6,1
1993,94,5,1
1994,94,5,1
1995,94,5,1
1996,94,5,1
1997,93,6,1
1998,93,6,1
1999,93,6,1
2000,93,6,1
2001,93,6,1
2002,93,6,1
2003,93,6,1
2004,92,6,1
2005,92,7,1
2006,92,7,1
2007,91,7,1
2008,91,8,1
2009,91,8,1
2010,91,8,1
2011,90,9,1
2012,90,9,1
2013,90,9,1
2014,89,10,1
2015,89,10,1
2016,89,10,1
2017,89,10,1
2018,89,10,1
2019,89,10,1
2020,97,3,0
2021,92,7,1
2022,91,9,1
